Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
21006,11630624.96,11630624.96,11630624.96,11630624.96,12466976.02,12466976.02,12466976.02,12466976.02,12466976.02,13332498.57,13332498.57,13332498.57,13332498.57,13332498.57,14170686.79,14170686.79,14170686.79,14170686.79,14170686.79,14867859.52,14867859.52,14867859.52,14867859.52,14867859.52
21007,10126898.61,10126898.61,10126898.61,10126898.61,10725246.38,10725246.38,10725246.38,10725246.38,10725246.38,11372237.09,11372237.09,11372237.09,11372237.09,11372237.09,12007454.77,12007454.77,12007454.77,12007454.77,12007454.77,12578024.52,12578024.52,12578024.52,12578024.52,12578024.52
21008,36132519.43,36132519.43,36132519.43,36132519.43,38019955.54,38019955.54,38019955.54,38019955.54,38019955.54,40036217.51,40036217.51,40036217.51,40036217.51,40036217.51,42042685.9,42042685.9,42042685.9,42042685.9,42042685.9,43943720.59,43943720.59,43943720.59,43943720.59,43943720.59
21009,38584333.09,38584333.09,38584333.09,38584333.09,41099853.01,41099853.01,41099853.01,41099853.01,41099853.01,43804038.18,43804038.18,43804038.18,43804038.18,43804038.18,46620100.64,46620100.64,46620100.64,46620100.64,46620100.64,49555885.15,49555885.15,49555885.15,49555885.15,49555885.15
21010,27585318.89,27585318.89,27585318.89,27585318.89,28989196.27,28989196.27,28989196.27,28989196.27,28989196.27,30487591.24,30487591.24,30487591.24,30487591.24,30487591.24,31893010.53,31893010.53,31893010.53,31893010.53,31893010.53,32980388.09,32980388.09,32980388.09,32980388.09,32980388.09
21011,22309141.25,22309141.25,22309141.25,22309141.25,23569390.02,23569390.02,23569390.02,23569390.02,23569390.02,24907412.39,24907412.39,24907412.39,24907412.39,24907412.39,26250057.33,26250057.33,26250057.33,26250057.33,26250057.33,27657148.81,27657148.81,27657148.81,27657148.81,27657148.81
21012,14303970.41,14303970.41,14303970.41,14303970.41,15243851.61,15243851.61,15243851.61,15243851.61,15243851.61,16216791.47,16216791.47,16216791.47,16216791.47,16216791.47,17213026.95,17213026.95,17213026.95,17213026.95,17213026.95,18275683.66,18275683.66,18275683.66,18275683.66,18275683.66
21013,9913398.384,9913398.384,9913398.384,9913398.384,10262799.02,10262799.02,10262799.02,10262799.02,10262799.02,10627824.88,10627824.88,10627824.88,10627824.88,10627824.88,10979700.13,10979700.13,10979700.13,10979700.13,10979700.13,11276153.35,11276153.35,11276153.35,11276153.35,11276153.35
21014,13425702.41,13425702.41,13425702.41,13425702.41,14183024.27,14183024.27,14183024.27,14183024.27,14183024.27,14964480.65,14964480.65,14964480.65,14964480.65,14964480.65,15829153.28,15829153.28,15829153.28,15829153.28,15829153.28,16991639.35,16991639.35,16991639.35,16991639.35,16991639.35
21015,14603293.94,14603293.94,14603293.94,14603293.94,15711823.17,15711823.17,15711823.17,15711823.17,15711823.17,16882954.85,16882954.85,16882954.85,16882954.85,16882954.85,18019736.86,18019736.86,18019736.86,18019736.86,18019736.86,19017691.94,19017691.94,19017691.94,19017691.94,19017691.94
21016,3702119.427,3702119.427,3702119.427,3702119.427,4022695.847,4022695.847,4022695.847,4022695.847,4022695.847,4360010.486,4360010.486,4360010.486,4360010.486,4360010.486,4701699.875,4701699.875,4701699.875,4701699.875,4701699.875,5039320.675,5039320.675,5039320.675,5039320.675,5039320.675
21017,26018249.51,26018249.51,26018249.51,26018249.51,27568151.04,27568151.04,27568151.04,27568151.04,27568151.04,29192686.25,29192686.25,29192686.25,29192686.25,29192686.25,30945650.54,30945650.54,30945650.54,30945650.54,30945650.54,33146627.47,33146627.47,33146627.47,33146627.47,33146627.47
21018,15068933.12,15068933.12,15068933.12,15068933.12,16256591.76,16256591.76,16256591.76,16256591.76,16256591.76,17518929.97,17518929.97,17518929.97,17518929.97,17518929.97,18717778.84,18717778.84,18717778.84,18717778.84,18717778.84,19716104.03,19716104.03,19716104.03,19716104.03,19716104.03
21019,9080814.561,9080814.561,9080814.561,9080814.561,9650888.576,9650888.576,9650888.576,9650888.576,9650888.576,10252571.07,10252571.07,10252571.07,10252571.07,10252571.07,10856825.13,10856825.13,10856825.13,10856825.13,10856825.13,11486884.25,11486884.25,11486884.25,11486884.25,11486884.25
21020,11477939.75,11477939.75,11477939.75,11477939.75,12300242.15,12300242.15,12300242.15,12300242.15,12300242.15,13177047.91,13177047.91,13177047.91,13177047.91,13177047.91,14087379.8,14087379.8,14087379.8,14087379.8,14087379.8,15094033.92,15094033.92,15094033.92,15094033.92,15094033.92
21021,7230628.427,7230628.427,7230628.427,7230628.427,7459202.29,7459202.29,7459202.29,7459202.29,7459202.29,7699313.38,7699313.38,7699313.38,7699313.38,7699313.38,7974013.733,7974013.733,7974013.733,7974013.733,7974013.733,8394912.773,8394912.773,8394912.773,8394912.773,8394912.773
22001,25319505.69,25319505.69,25319505.69,25319505.69,26645223.22,26645223.22,26645223.22,26645223.22,26645223.22,28012285.54,28012285.54,28012285.54,28012285.54,28012285.54,29320007.24,29320007.24,29320007.24,29320007.24,29320007.24,30305368.77,30305368.77,30305368.77,30305368.77,30305368.77
22002,22494833.66,22494833.66,22494833.66,22494833.66,23521378.59,23521378.59,23521378.59,23521378.59,23521378.59,24605119.48,24605119.48,24605119.48,24605119.48,24605119.48,25709608.97,25709608.97,25709608.97,25709608.97,25709608.97,26926174.92,26926174.92,26926174.92,26926174.92,26926174.92
22003,67418631.87,67418631.87,67418631.87,67418631.87,72648221.93,72648221.93,72648221.93,72648221.93,72648221.93,78220956.64,78220956.64,78220956.64,78220956.64,78220956.64,83399058.22,83399058.22,83399058.22,83399058.22,83399058.22,86651619.81,86651619.81,86651619.81,86651619.81,86651619.81
22004,19501317.49,19501317.49,19501317.49,19501317.49,20225007.47,20225007.47,20225007.47,20225007.47,20225007.47,20964912.99,20964912.99,20964912.99,20964912.99,20964912.99,21677624.51,21677624.51,21677624.51,21677624.51,21677624.51,22279978.98,22279978.98,22279978.98,22279978.98,22279978.98
22005,12922302.64,12922302.64,12922302.64,12922302.64,13669497.42,13669497.42,13669497.42,13669497.42,13669497.42,14434587.7,14434587.7,14434587.7,14434587.7,14434587.7,15136562.58,15136562.58,15136562.58,15136562.58,15136562.58,15598381.35,15598381.35,15598381.35,15598381.35,15598381.35
22006,9746922.627,9746922.627,9746922.627,9746922.627,10191694.34,10191694.34,10191694.34,10191694.34,10191694.34,10645238.21,10645238.21,10645238.21,10645238.21,10645238.21,11084367.87,11084367.87,11084367.87,11084367.87,11084367.87,11455653.18,11455653.18,11455653.18,11455653.18,11455653.18
