Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
16002,1917.842163,1961.734692,1981.618872,2055.783744,2099.463777,2154.658232,2241.414273,2317.692694,2315.822759,2432.580073,2496.777825,2529.619807,2580.036997,2592.478559,2531.92257,2476.918123,2500.734027,2522.897889,2542.758838
16003,7940.05081,8134.763513,8239.034038,8629.024439,8830.587148,9088.844511,9493.971202,9870.369606,9886.859172,10621.67663,10938.75988,11181.07285,11413.17556,11461.46617,11213.20897,10969.60914,11071.51773,11177.45219,11265.57992
16004,4595.665689,4697.723325,4741.232151,4923.523564,5028.992131,5164.608217,5372.704298,5563.490337,5559.074969,5847.233004,6006.829667,6088.717125,6211.271638,6229.107141,6085.225164,5953.010418,6014.204007,6066.833937,6112.585888
17001,2706.283097,2755.001247,2790.1173,2895.128664,2957.952842,3042.135958,3181.645096,3344.332156,3396.882568,3672.855368,3799.691831,4009.299044,4093.978772,4095.225707,4015.162746,3927.935883,3969.75814,4004.89176,4035.972986
17002,4577.840389,4665.172787,4716.308993,4904.069382,5017.820954,5185.86028,5452.045891,5677.33335,5701.533644,6104.581992,6343.107856,6556.297191,6690.681454,6706.033363,6568.759721,6426.057583,6492.928571,6551.462413,6604.148105
17003,4414.268736,4494.715506,4556.452796,4730.767721,4837.655841,4977.841579,5181.778479,5371.582071,5372.702455,5688.489847,5860.787568,6055.614202,6182.137833,6210.81736,6094.011116,5961.622548,6098.663985,6155.561502,6202.948567
17004,6053.399912,6163.171576,6223.060743,6458.184705,6596.62565,6770.813318,7044.573883,7285.974896,7280.263887,7678.084603,7973.217367,8171.972429,8339.245187,8525.15729,8810.963854,8619.551178,8928.706343,9012.959542,9132.271993
17005,4006.493308,4091.802911,4138.372883,4345.962018,4444.705527,4566.965051,4826.067063,4997.38564,5001.098776,5303.703362,5588.876561,5749.433078,5866.140375,5907.860559,5794.326925,5668.448831,5749.966017,5804.537738,5860.951655
17006,6793.3752,7024.550815,7149.995481,7473.860152,7641.295698,7928.579704,8285.258653,8657.954295,8665.669223,9293.169882,9659.110403,9878.808663,10100.95104,10177.91279,10014.41936,9796.862506,9973.040882,10075.98613,10161.26654
17007,5314.066761,5409.407059,5459.928413,5665.687048,5787.066664,5943.544864,6184.791582,6398.797904,6394.491863,6718.664978,6899.726705,7043.177359,7184.522033,7328.741108,7255.448498,7097.82839,7349.730971,7418.813789,7480.82288
17008,5598.120832,5709.015748,5776.767268,6001.347805,6131.84112,6326.345553,6622.928623,6859.962648,6855.448224,7246.711814,7492.082196,7680.773397,7849.472354,8042.240463,7946.067551,7773.444213,7988.763792,8096.883318,8172.93819
21001,1107.168419,1138.849343,1160.622585,1205.179892,1232.751053,1276.220307,1332.960306,1388.324463,1389.562655,1520.267827,1570.955185,1610.335174,1648.183762,1659.563671,1625.454489,1590.142519,1605.856252,1620.57817,1632.792876
21002,9176.108777,9556.279384,9648.012932,10123.49783,10362.43562,10758.8388,11224.85774,11726.73598,11737.66298,12511.68417,12986.52054,13239.15672,13521.7531,13606.25001,13328.84218,13039.28167,13178.53857,13301.83534,13404.21744
21003,1008.677419,1032.384368,1060.381088,1105.656645,1133.524484,1178.804573,1232.605853,1286.180373,1295.769988,1411.827659,1646.622818,1694.50075,1732.96631,1741.662677,1704.061274,1667.041627,1682.27397,1696.982489,1710.594701
21004,1103.548568,1133.468427,1163.250913,1207.121419,1233.574861,1275.159203,1334.525398,1381.501476,1381.186189,1475.220252,1525.540537,1566.250735,1602.033197,1614.333449,1578.075307,1543.792612,1558.045343,1571.856375,1583.726926
21005,2748.411519,2800.633356,2843.084478,2956.974575,3024.489147,3143.444625,3274.716005,3425.709782,3435.082828,3743.854352,3895.70786,4014.650728,4115.243084,4136.090876,4044.009715,3956.156166,4030.600452,4066.09662,4097.489646
21006,1201.48987,1225.332923,1250.668305,1300.074405,1329.681407,1368.575113,1430.622127,1506.645525,1510.562726,1651.371094,1721.516944,1774.877069,1814.137847,1823.365518,1790.981814,1752.073866,1778.068546,1793.600309,1807.269754
